"Function
功能"	"Class ID
类"	"Ver.
版本"	"FID2/
IDIS/Hexing"	"Attribute
&
Method
No.
属性
方法"	"Object
&
Attribute
Name
对象&属性名"	"Attribute
&
Parameter
Type
属性&方法参数类型"	"OBIS Code
&
Default Value
OBIS&默认值"	"Display OBIS code（6）
显示OBIS（6 段）"	"Display OBIS code（4）
显示OBIS（4 段）"	"Access Right
访问权限"				"Comments
注释"	"XML Comments
XML 注释"	"Coding
编码"
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R	过高电压或过低电压判断事件		Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Meter cover remove detection enable activation time		1-0:11.187.0.255	11.187.0						开表盖检测使能激活时间		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3	0	Hexing		Threshold for overTHD		1-0:129.35.124.255	11.35.E						THD超限阀值		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R	电压、电流THD超限阀值共用，沙特需求		Hex
电网质量//电网质量	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type	{-1,56}			\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for over THD		1-0:129.44.124.255	11.44.E						THD超限延迟时间阀值		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R	电压、电流THD超限阀值共用，沙特需求		Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电压中断	1	0	Hexing		Voltage interrupt function parameter （Bazil）		1-0:12.197.0.255	12.197.0						电压中断功能参数（巴西）		
电网质量//电压中断	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电压中断	1		Hexing	a2	value	interrupt_para				\	\	R	R	"
电压阀值1位小数
struct[4]{
bool enable;
long_unsigned:threshold_start;
long_unsigned:threshold_end;
long_unsigned:threshold_seconds;
}"		
电网质量//dic	3	0	Hexing		Current month dic value （Bazil）		1-0:12.198.0.255	12.198.0						当前月dic值（巴西）		
电网质量//dic	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//dic	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R	"（电压中断累计时间）
"		
电网质量//dic	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//dic	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//dic	3	0	Hexing		Last month dic value （Bazil）		1-0:12.198.0.101	4A.61	4A.61					上一月dic值（巴西）		
电网质量//dic	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//dic	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R	"（电压中断累计时间）
"		
电网质量//dic	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//dic	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//fic	3	0	Hexing		Current month fic value（Bazil）		1-0:12.199.0.255	12.199.0						当前月Fic值（巴西）		
电网质量//fic	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//fic	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R	电压中断累计次数		
电网质量//fic	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//fic	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//fic	3	0	Hexing		Last month fic value（Bazil）		1-0:12.199.0.101	4A.71	4A.71					上一月Fic值（巴西）		
电网质量//fic	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//fic	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R	电压中断累计次数		
电网质量//fic	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//fic	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//dmic	4	0	Hexing		current month dmic value（Bazil）		1-0:12.200.0.255	12.200.0						当月dmic值（巴西）		
电网质量//dmic	4		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//dmic	4		Hexing	a2	value	double_long_unsigned				\	\	R	R	电压中断的最长持续时间		
电网质量//dmic	4			a3	scaler_unit	scal_unit_type	{0,7}					R	R			
电网质量//dmic	4			a4	status	unsigned						R	R			
电网质量//dmic	4			a5	capture_time	octet-string						R	R	date_time		
电网质量//dmic	4		Hexing	m1	reset	integer				\	\	\	\			
电网质量//dmic	4	0	Hexing		Last month dmic value（Bazil）		1-0:12.200.0.101	4A.81	4A.81					上一月dmic值（巴西）		
电网质量//dmic	4		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//dmic	4		Hexing	a2	value	double_long_unsigned				\	\	R	R	电压中断的最长持续时间		
电网质量//dmic	4			a3	scaler_unit	scal_unit_type	{0,7}					R	R			
电网质量//dmic	4			a4	status	unsigned						R	R			
电网质量//dmic	4			a5	capture_time	octet-string						R	R	date_time		
电网质量//dmic	4		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电压中断时间	1	0	Hexing		Last voltage interrupt occur time（Bazil）		0-0:96.55.100.255							最近一次电压中断发生时间（巴西）		
电网质量//电压中断时间	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电压中断时间	1		Hexing	a2	value	octet-string				\	\	RW	R	date_time		
电网质量//电压中断时间	1	0	Hexing		Last voltage interrupt over time（Bazil）		0-0:96.55.101.255							最近一次电压中断结束时间（巴西）		
电网质量//电压中断时间	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电压中断时间	1		Hexing	a2	value	octet-string				\	\	RW	R	date_time		
电网质量//时间相关	3	0	Hexing		Time threshold for load side voltage detection 		1-0:129.36.0.255	A.36.0	A.36.0					负载侧电压检测判断延时		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//事件期间最大电压	3	0	FID2		Last Maximum value of voltage during the event		1-0:12.251.0.255	12.251.0						事件发生期间电压最大值Last Maximum		
电网质量//事件期间最大电压	3		FID2	a1	logical_name	octet_string[6]	"010020E200FF"			\	\	R	R			Hex
电网质量//事件期间最大电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最大电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//事件期间最小电压	3	0	FID2		Last Minimum value of voltage during the event		1-0:12.250.0.255	12.250.0						事件发生期间电压最小值Last Minimum		
电网质量//事件期间最小电压	3		FID2	a1	logical_name	octet_string[6]	"010020DF00FF"			\	\	R	R			Hex
电网质量//事件期间最小电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最小电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//事件期间最大电流	3	0	FID2		Last Maximum for the current during the event		1-0:11.251.0.255	11.251.0						事件发生期间电流最大值Last Maximum		
电网质量//事件期间最大电流	3		FID2	a1	logical_name	octet_string[6]	"01001FDF00FF"			\	\	R	R			Hex
电网质量//事件期间最大电流	3		FID2	a2	value	long_unsigned				\	\	R	R		current	
电网质量//事件期间最大电流	3		FID2	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R	单位=A 分辨率:   0.00 A		
电网质量//时间相关	3	0	FID2 & IDIS		Time threshold for Tamper event		1-0:11.189.0.255	11.188.0						窃电事件判断延迟时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	\	RW	R	单位：秒		
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//窃电事件阈值	1	0	FID2 & IDIS		 Threshold for Tamper event		1-0:11.190.0.255	11.189.0						窃电事件判断阈值		
电网质量//窃电事件阈值	1		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//窃电事件阈值	1		FID2 & IDIS	a2	value	structure				\	\	RW	R	"structure
{
 额定频率上下限值百分比，unsigned，单位：0.1%
 波形异步采样点允许误差点个数，unsigned, 单位：无
 波形有效值下限值，unsigned，单位：无
 波形有效值上限值，unsigned，单位：无
 一阶差分波形平滑度检测坏点个数，unsigned, 单位：无
 二阶差分波形平滑度检测坏点个数，unsigned, 单位：无
 二阶差分波形平滑度检测电压阈值，long_unsigned，单位：0.1V
}"		
电网质量//事件期间最大电压	3	0	FID2		Last Maximum value of voltage during the over voltage event for L1		1-0:32.252.0.255	32.252.0						A相过压期间电压最大值Last Maximum		
电网质量//事件期间最大电压	3		FID2	a1	logical_name	octet_string[6]	"010020E200FF"			\	\	R	R			Hex
电网质量//事件期间最大电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最大电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//事件期间最小电压	3	0	FID2		Last Minimum value of voltage during the low voltage event for L1		1-0:32.247.0.255	32.247.0						A相欠压期间电压最小值Last Minimum		
电网质量//事件期间最小电压	3		FID2	a1	logical_name	octet_string[6]	"010020DF00FF"			\	\	R	R			Hex
电网质量//事件期间最小电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最小电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//事件期间最大电压	3	0	FID2		Last Maximum value of voltage during the over voltage event for L2		1-0:52.252.0.255	32.252.0						B相过压期间电压最大值Last Maximum		
电网质量//事件期间最大电压	3		FID2	a1	logical_name	octet_string[6]	"010020E200FF"			\	\	R	R			Hex
电网质量//事件期间最大电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最大电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//事件期间最小电压	3	0	FID2		Last Minimum value of voltage during the low voltage event for L2		1-0:52.247.0.255	32.247.0						B相欠压期间电压最小值Last Minimum		
电网质量//事件期间最小电压	3		FID2	a1	logical_name	octet_string[6]	"010020DF00FF"			\	\	R	R			Hex
电网质量//事件期间最小电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最小电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//事件期间最大电压	3	0	FID2		Last Maximum value of voltage during the over voltage event  for L3		1-0:72.252.0.255	72.252.0						C相过压期间电压最大值Last Maximum		
电网质量//事件期间最大电压	3		FID2	a1	logical_name	octet_string[6]	"010020E200FF"			\	\	R	R			Hex
电网质量//事件期间最大电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最大电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//事件期间最小电压	3	0	FID2		Last Minimum value of voltage during the low voltage event for L3		1-0:72.247.0.255	72.247.0						C相欠压期间电压最小值Last Minimum		
电网质量//事件期间最小电压	3		FID2	a1	logical_name	octet_string[6]	"010020DF00FF"			\	\	R	R			Hex
电网质量//事件期间最小电压	3		FID2	a2	value	long_unsigned				\	\	R	R		voltage	
电网质量//事件期间最小电压	3		FID2	a3	scaler_unit	scal_unit_type	{-1,35}			\	\	R	R	量纲=-1, 单位=V 分辨率:   0.0 V		
电网质量//电网质量	3	0	Hexing		During of reverse polarity		1-0:11.192.0.255	11.192.0						反极性发生持续时间		
电网质量//电网质量	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//电网质量	3		Hexing	a3	scaler_unit	scal_unit_type				\	\	R	R			
电网质量//电网质量	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电网质量	1	0	Hexing		Number of reverse polarity		0-0:96.51.29.255	C.51.29						反极性发生次数		
电网质量//电网质量	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电网质量	1		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//判断电流	3	0	Hexing		Threshold for bypass event（current）		1-0:11.193.0.255							旁路事件电流阈值		
电网质量//判断电流	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断电流	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R		current	
电网质量//判断电流	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {-3,33}
3P CTPT: {-3,33}
 1P: {-2,33}
3P DC: {-2,33}"			\	\	R	R			
电网质量//判断时间	1	0	Hexing		Power on/down event record time threshold		1-0:11.220.0.255							停上电事件记录门限时间		
电网质量//判断时间	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//判断时间	1		Hexing	a2	value	long_unsigned	(-3)			\	\	RW	R	ms(20)，最小精度为100ms		
电网质量//时间相关	3	0	Hexing		Time threshold for detection of electrical event after relay		1-0:11.221.0.255							继电器后级有电事件检测延迟时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//电池欠压	1	0	Hexing		Battery Power Low Test Mode/Run Mode		0-0:96.54.28.255							电池欠压测试模式/运行模式		
电网质量//电池欠压	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电池欠压	1		Hexing	a2	value	unsigned				\	\	RW	R	"0x00:测试模式
0x01:运行模式"		
电网质量//电池欠压	3	0	Hexing		Active Energy threshold for  Battery Power Low Test Mode/Run Mode		1-0:12.206.0.255							电池欠压测试模式/运行模式有功电量判断阈值		
电网质量//电池欠压	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//电池欠压	3		Hexing	a2	value	double_long_unsigned				\	\	RW	R			
电网质量//电池欠压	3		Hexing	a3	scaler_unit	scal_unit_type	"3P CT: {0,30}
3P CTPT: {0,30}
 1P: {1,30}
3P DC: {1,30}"			\	\	R	R			
电网质量//电池欠压	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//延时	3	0	Hexing		Module pull-out delay time 		0-0:96.54.30.255							模块拔出延时时间		
电网质量//延时	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//延时	3		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//延时	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//延时	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//延时	1	0	Hexing		threshold of communication detection overtime 		0-0:96.54.31.255							通讯检测超时时间		
电网质量//延时	1		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//延时	1		Hexing	a2	value	long_unsigned				\	\	RW	R			
电网质量//延时	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//延时	3		Hexing	m1	reset	integer				\	\	\	\			
